T_a = T_s/32, T_g = 64(τ+T_s), 副殻200分割, 丸め Λ=(a/8)ℤ³
  K₀  τ/Ts   slack/w̄   錐  カバー   控除ν̂(Λ̃=1)       受理ν̂   Λ̃_max
   5   0.0   +0.00190   ✓    ✓    6.762e-08  4.098e-09     0.03 ----
   5   1.0   +0.00390   ✓    ✓    8.347e-09  1.721e-08     1.03 ----
   5   3.0   +0.00489   ✓    ✓    1.037e-09  2.714e-08    13.08 PASS
   8   0.0   +0.00336   ✓    ✓    1.824e-08  1.283e-08     0.35 ----
   8   1.0   +0.00463   ✓    ✓    2.260e-09  2.427e-08     5.37 PASS
   8   3.0   +0.00526   ✓    ✓    2.812e-10  3.133e-08    55.71 PASS
  10   0.0   +0.00385   ✓    ✓    9.970e-09  1.682e-08     0.84 ----
  10   1.0   +0.00487   ✓    ✓    1.237e-09  2.689e-08    10.87 PASS
  10   3.0   +0.00538   ✓    ✓    1.540e-10  3.280e-08   106.48 PASS
  12   0.0   +0.00418   ✓    ✓    6.151e-09  1.978e-08     1.61 ----
  12   1.0   +0.00503   ✓    ✓    7.638e-10  2.871e-08    18.80 PASS
  12   3.0   +0.00546   ✓    ✓    9.515e-11  3.379e-08   177.59 PASS
  16   0.0   +0.00458   ✓    ✓    2.935e-09  2.380e-08     4.06 PASS
  16   1.0   +0.00523   ✓    ✓    3.648e-10  3.107e-08    42.59 PASS
  16   3.0   +0.00556   ✓    ✓    4.547e-11  3.506e-08   385.55 PASS
  20   0.0   +0.00483   ✓    ✓    1.688e-09  2.640e-08     7.82 PASS
  20   1.0   +0.00536   ✓    ✓    2.100e-10  3.253e-08    77.47 PASS
  20   3.0   +0.00562   ✓    ✓    2.618e-11  3.583e-08   684.33 PASS
  24   0.0   +0.00499   ✓    ✓    1.091e-09  2.821e-08    12.93 PASS
  24   1.0   +0.00544   ✓    ✓    1.357e-10  3.352e-08   123.47 PASS
  24   3.0   +0.00566   ✓    ✓    1.693e-11  3.635e-08  1073.54 PASS

K₀=20, Λ̃ ≤ 4, T_a=T_s/32: PASS(橋認証+幾何認証)
